"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.01.2018","1.308,70","1.305,80","1.309,70","1.304,60","-","-5,98%"
"02.01.2018","1.400,10","1.400,10","1.400,10","1.400,10","0,00K","6,98%"
"03.01.2018","1.404,00","1.399,00","1.399,00","1.399,00","0,00K","0,28%"
"04.01.2018","1.407,30","1.407,30","1.407,30","1.407,30","0,00K","0,24%"
"05.01.2018","1.408,30","1.408,30","1.408,30","1.408,30","0,00K","0,07%"
"08.01.2018","1.407,40","1.407,40","1.407,40","1.407,40","0,04K","-0,06%"
"09.01.2018","1.401,30","1.398,00","1.398,00","1.398,00","0,00K","-0,43%"
"10.01.2018","1.408,30","1.408,30","1.408,30","1.408,30","0,00K","0,50%"
"11.01.2018","1.411,40","1.411,40","1.411,40","1.411,40","0,01K","0,22%"
"12.01.2018","1.425,70","1.425,70","1.425,70","1.425,70","0,01K","1,01%"
"14.01.2018","1.337,40","1.337,70","1.338,60","1.336,40","-","-6,19%"
"15.01.2018","1.341,80","1.337,30","1.344,90","1.337,00","-","0,33%"
"16.01.2018","1.428,10","1.428,10","1.428,10","1.428,10","0,01K","6,43%"
"17.01.2018","1.431,00","1.431,00","1.431,00","1.431,00","0,03K","0,20%"
"18.01.2018","1.419,00","1.419,00","1.419,00","1.419,00","0,21K","-0,84%"
"19.01.2018","1.425,90","1.425,90","1.425,90","1.425,90","0,05K","0,49%"
"22.01.2018","1.429,60","1.429,60","1.429,60","1.429,60","0,16K","0,26%"
"23.01.2018","1.434,20","1.434,20","1.434,20","1.434,20","0,05K","0,32%"
"24.01.2018","1.456,30","1.456,30","1.456,30","1.456,30","0,02K","1,54%"
"25.01.2018","1.463,10","1.463,10","1.463,10","1.463,10","0,00K","0,47%"
"26.01.2018","1.453,70","1.453,70","1.453,70","1.453,70","0,05K","-0,64%"
"29.01.2018","1.441,30","1.441,30","1.441,30","1.441,30","0,00K","-0,85%"
"30.01.2018","1.436,20","1.436,20","1.436,20","1.436,20","52,10K","-0,35%"
"31.01.2018","1.439,40","1.439,40","1.439,40","1.439,40","4,88K","0,22%"
"01.02.2018","1.445,10","1.445,10","1.445,10","1.445,10","1,68K","0,40%"
"02.02.2018","1.434,60","1.434,60","1.434,60","1.434,60","2,84K","-0,73%"
"05.02.2018","1.432,90","1.432,90","1.432,90","1.432,90","0,64K","-0,12%"
"06.02.2018","1.425,40","1.425,40","1.425,40","1.425,40","0,53K","-0,52%"
"07.02.2018","1.410,70","1.410,70","1.410,70","1.410,70","0,49K","-1,03%"
"08.02.2018","1.414,80","1.414,80","1.414,80","1.414,80","0,46K","0,29%"
"09.02.2018","1.410,10","1.410,10","1.410,10","1.410,10","0,00K","-0,33%"
"12.02.2018","1.420,90","1.420,90","1.420,90","1.420,90","0,14K","0,77%"
"13.02.2018","1.424,80","1.424,80","1.424,80","1.424,80","0,07K","0,27%"
"14.02.2018","1.452,90","1.452,90","1.452,90","1.452,90","0,40K","1,97%"
"15.02.2018","1.451,50","1.451,50","1.451,50","1.451,50","0,11K","-0,10%"
"16.02.2018","1.452,80","1.452,80","1.452,80","1.452,80","0,11K","0,09%"
"18.02.2018","1.350,50","1.349,70","1.352,40","1.349,70","-","-7,04%"
"19.02.2018","1.347,80","1.350,40","1.353,90","1.347,40","-","-0,20%"
"20.02.2018","1.428,40","1.428,40","1.428,40","1.428,40","0,28K","5,98%"
"21.02.2018","1.430,60","1.430,60","1.430,60","1.430,60","0,12K","0,15%"
"22.02.2018","1.431,40","1.431,40","1.431,40","1.431,40","0,07K","0,06%"
"23.02.2018","1.429,00","1.429,00","1.429,00","1.429,00","0,43K","-0,17%"
"26.02.2018","1.433,10","1.433,10","1.433,10","1.433,10","0,04K","0,29%"
"27.02.2018","1.419,60","1.419,60","1.419,60","1.419,60","0,05K","-0,94%"
"28.02.2018","1.419,20","1.419,20","1.419,20","1.419,20","0,06K","-0,03%"
"01.03.2018","1.406,00","1.406,00","1.406,00","1.406,00","0,04K","-0,93%"
"02.03.2018","1.424,20","1.424,20","1.424,20","1.424,20","0,16K","1,29%"
"05.03.2018","1.420,50","1.420,50","1.420,50","1.420,50","0,02K","-0,26%"
"06.03.2018","1.435,90","1.435,90","1.435,90","1.435,90","0,02K","1,08%"
"07.03.2018","1.427,90","1.427,90","1.427,90","1.427,90","0,03K","-0,56%"
"08.03.2018","1.423,70","1.423,70","1.423,70","1.423,70","0,06K","-0,29%"
"09.03.2018","1.428,00","1.428,00","1.428,00","1.428,00","0,09K","0,30%"
"12.03.2018","1.424,80","1.424,80","1.424,80","1.424,80","0,00K","-0,22%"
"13.03.2018","1.431,40","1.433,40","1.433,40","1.433,40","0,00K","0,46%"
"14.03.2018","1.429,70","1.429,70","1.429,70","1.429,70","0,03K","-0,12%"
"15.03.2018","1.421,70","1.421,70","1.421,70","1.421,70","0,10K","-0,56%"
"16.03.2018","1.416,30","1.416,30","1.416,30","1.416,30","0,03K","-0,38%"
"19.03.2018","1.421,70","1.421,70","1.421,70","1.421,70","0,01K","0,38%"
"20.03.2018","1.416,20","1.416,20","1.416,20","1.416,20","0,00K","-0,39%"
"21.03.2018","1.426,60","1.426,60","1.426,60","1.426,60","0,01K","0,73%"
"22.03.2018","1.432,20","1.432,20","1.432,20","1.432,20","0,00K","0,39%"
"23.03.2018","1.455,00","1.455,00","1.455,00","1.455,00","0,01K","1,59%"
"26.03.2018","1.461,00","1.461,00","1.461,00","1.461,00","0,01K","0,41%"
"27.03.2018","1.447,80","1.447,80","1.447,80","1.447,80","0,01K","-0,90%"
"28.03.2018","1.428,90","1.428,90","1.428,90","1.428,90","59,28K","-1,31%"
"29.03.2018","1.426,00","1.426,00","1.426,00","1.426,00","5,59K","-0,20%"
"02.04.2018","1.445,80","1.445,80","1.445,80","1.445,80","0,65K","1,39%"
"03.04.2018","1.436,50","1.436,50","1.436,50","1.436,50","0,70K","-0,64%"
"04.04.2018","1.439,70","1.439,70","1.439,70","1.439,70","0,72K","0,22%"
"05.04.2018","1.428,10","1.428,10","1.428,10","1.428,10","0,26K","-0,81%"
"06.04.2018","1.435,90","1.435,90","1.435,90","1.435,90","0,35K","0,55%"
