Date,Value,Anomaly
189501,26.69,-3.88
189502,26.60,-7.42
189503,39.97,-1.91
189504,52.90,1.65
189505,59.94,-0.42
189506,67.80,-0.93
189507,71.24,-2.58
189508,71.62,-0.68
189509,65.57,0.46
189510,50.85,-3.36
189511,39.16,-2.87
189512,31.71,-1.28
189601,31.48,0.91
189602,35.04,1.02
189603,38.03,-3.85
189604,52.34,1.09
189605,62.46,2.10
189606,69.89,1.16
189607,73.69,-0.13
189608,72.27,-0.03
189609,62.94,-2.17
189610,51.91,-2.30
189611,38.32,-3.71
189612,35.55,2.56
189701,28.17,-2.40
189702,33.39,-0.63
189703,38.79,-3.09
189704,51.15,-0.10
189705,61.18,0.82
189706,68.11,-0.62
189707,73.36,-0.46
189708,71.35,-0.95
189709,66.40,1.29
189710,55.11,0.90
189711,40.91,-1.12
189712,30.76,-2.23
189801,30.67,0.10
189802,35.37,1.35
189803,41.05,-0.83
189804,50.79,-0.46
189805,59.94,-0.42
189806,69.31,0.58
189807,73.29,-0.53
189808,72.75,0.45
189809,65.46,0.35
189810,51.49,-2.72
189811,38.39,-3.64
189812,28.67,-4.32
189901,29.68,-0.89
189902,25.50,-8.52
189903,37.63,-4.25
189904,50.61,-0.64
189905,59.90,-0.46
189906,68.65,-0.08
189907,73.08,-0.74
189908,71.74,-0.56
189909,64.80,-0.31
189910,53.98,-0.23
189911,44.92,2.89
189912,31.62,-1.37
190001,34.11,3.54
190002,30.76,-3.26
190003,41.27,-0.61
190004,51.60,0.35
190005,61.74,1.38
190006,70.30,1.57
190007,73.13,-0.69
190008,72.86,0.56
190009,65.14,0.03
190010,56.35,2.14
190011,41.54,-0.49
190012,34.48,1.49
190101,31.62,1.05
190102,29.86,-4.16
190103,40.71,-1.17
190104,49.39,-1.86
190105,61.18,0.82
190106,68.43,-0.30
190107,76.24,2.42
190108,73.20,0.90
190109,63.25,-1.86
190110,55.45,1.24
190111,41.68,-0.35
190112,31.48,-1.51
190201,30.06,-0.51
190202,31.46,-2.56
190203,41.58,-0.30
190204,50.85,-0.40
190205,61.99,1.63
190206,68.04,-0.69
190207,72.05,-1.77
190208,71.37,-0.93
190209,62.76,-2.35
190210,54.43,0.22
190211,43.68,1.65
190212,30.79,-2.20
190301,30.88,0.31
190302,28.42,-5.60
190303,42.21,0.33
190304,50.22,-1.03
190305,59.54,-0.82
190306,65.89,-2.84
190307,71.92,-1.90
190308,70.97,-1.33
190309,62.73,-2.38
190310,53.94,-0.27
190311,40.23,-1.80
190312,30.54,-2.45
190401,27.55,-3.02
190402,31.59,-2.43
190403,41.76,-0.12
190404,49.46,-1.79
190405,60.13,-0.23
190406,67.26,-1.47
190407,71.35,-2.47
190408,70.72,-1.58
190409,64.96,-0.15
190410,53.92,-0.29
190411,43.14,1.11
190412,32.02,-0.97
190501,27.10,-3.47
190502,26.94,-7.08
190503,45.12,3.24
190504,50.49,-0.76
190505,59.14,-1.22
190506,68.00,-0.73
190507,71.98,-1.84
190508,72.37,0.07
190509,65.95,0.84
190510,51.64,-2.57
190511,42.24,0.21
190512,30.99,-2.00
190601,32.88,2.31
190602,33.69,-0.33
190603,36.10,-5.78
190604,52.72,1.47
190605,59.58,-0.78
190606,67.32,-1.41
190607,72.36,-1.46
190608,71.85,-0.45
190609,66.25,1.14
190610,52.54,-1.67
190611,40.44,-1.59
190612,34.97,1.98
190701,30.69,0.12
190702,35.46,1.44
190703,45.70,3.82
190704,47.53,-3.72
190705,55.89,-4.47
190706,65.70,-3.03
190707,72.52,-1.30
190708,70.79,-1.51
190709,64.22,-0.89
190710,53.78,-0.43
190711,40.82,-1.21
190712,34.70,1.71
190801,32.45,1.88
190802,33.01,-1.01
190803,43.92,2.04
190804,52.75,1.50
190805,58.82,-1.54
190806,66.92,-1.81
190807,73.18,-0.64
190808,70.68,-1.62
190809,65.59,0.48
190810,51.76,-2.45
190811,42.53,0.50
190812,33.31,0.32
190901,32.31,1.74
190902,35.02,1.00
190903,40.35,-1.53
190904,48.96,-2.29
190905,58.14,-2.22
190906,68.94,0.21
190907,72.63,-1.19
190908,72.93,0.63
190909,64.40,-0.71
190910,52.88,-1.33
190911,45.03,3.00
190912,25.61,-7.38
191001,29.61,-0.96
191002,29.30,-4.72
191003,49.44,7.56
191004,53.62,2.37
191005,59.22,-1.14
191006,68.29,-0.44
191007,74.12,0.30
191008,71.11,-1.19
191009,65.68,0.57
191010,55.62,1.41
191011,41.13,-0.90
191012,31.93,-1.06
191101,32.90,2.33
191102,33.66,-0.36
191103,44.02,2.14
