date,area,average_price,code,houses_sold,no_of_crimes,borough_flag
1995-01-01,city of london,91449,E09000001,17,,1
1995-02-01,city of london,82203,E09000001,7,,1
1995-03-01,city of london,79121,E09000001,14,,1
1995-04-01,city of london,77101,E09000001,7,,1
1995-05-01,city of london,84409,E09000001,10,,1
1995-06-01,city of london,94901,E09000001,17,,1
1995-07-01,city of london,110128,E09000001,13,,1
1995-08-01,city of london,112329,E09000001,14,,1
1995-09-01,city of london,104473,E09000001,17,,1
1995-10-01,city of london,108038,E09000001,14,,1
1995-11-01,city of london,117636,E09000001,11,,1
1995-12-01,city of london,127232,E09000001,18,,1
1996-01-01,city of london,108999,E09000001,17,,1
1996-02-01,city of london,93357,E09000001,10,,1
1996-03-01,city of london,93707,E09000001,17,,1
1996-04-01,city of london,120543,E09000001,14,,1
1996-05-01,city of london,112050,E09000001,19,,1
1996-06-01,city of london,114226,E09000001,28,,1
1996-07-01,city of london,97547,E09000001,30,,1
1996-08-01,city of london,114179,E09000001,25,,1
1996-09-01,city of london,108138,E09000001,32,,1
1996-10-01,city of london,98934,E09000001,33,,1
1996-11-01,city of london,99707,E09000001,31,,1
1996-12-01,city of london,106427,E09000001,26,,1
1997-01-01,city of london,116343,E09000001,22,,1
1997-02-01,city of london,111142,E09000001,37,,1
1997-03-01,city of london,107488,E09000001,70,,1
1997-04-01,city of london,108480,E09000001,19,,1
1997-05-01,city of london,115453,E09000001,12,,1
1997-06-01,city of london,118317,E09000001,21,,1
1997-07-01,city of london,117034,E09000001,26,,1
1997-08-01,city of london,113585,E09000001,9,,1
1997-09-01,city of london,115159,E09000001,22,,1
1997-10-01,city of london,121251,E09000001,22,,1
1997-11-01,city of london,131074,E09000001,18,,1
1997-12-01,city of london,130035,E09000001,37,,1
1998-01-01,city of london,124382,E09000001,48,,1
1998-02-01,city of london,143829,E09000001,43,,1
1998-03-01,city of london,156508,E09000001,39,,1
1998-04-01,city of london,163403,E09000001,28,,1
1998-05-01,city of london,143625,E09000001,30,,1
1998-06-01,city of london,132251,E09000001,32,,1
1998-07-01,city of london,140377,E09000001,17,,1
1998-08-01,city of london,148993,E09000001,34,,1
1998-09-01,city of london,152807,E09000001,40,,1
1998-10-01,city of london,162020,E09000001,42,,1
1998-11-01,city of london,152387,E09000001,23,,1
1998-12-01,city of london,155801,E09000001,48,,1
1999-01-01,city of london,149143,E09000001,41,,1
1999-02-01,city of london,164545,E09000001,31,,1
1999-03-01,city of london,174586,E09000001,53,,1
1999-04-01,city of london,191157,E09000001,28,,1
1999-05-01,city of london,191081,E09000001,35,,1
1999-06-01,city of london,185993,E09000001,63,,1
1999-07-01,city of london,164056,E09000001,42,,1
1999-08-01,city of london,160905,E09000001,58,,1
1999-09-01,city of london,166193,E09000001,30,,1
1999-10-01,city of london,163490,E09000001,29,,1
1999-11-01,city of london,175143,E09000001,29,,1
1999-12-01,city of london,169309,E09000001,97,,1
2000-01-01,city of london,173738,E09000001,24,,1
2000-02-01,city of london,174152,E09000001,55,,1
