StartDate,Value (kWh),day_of_week,notes
2016-01-06 00:00:00,1.057,2,weekday
2016-01-06 01:00:00,1.171,2,weekday
2016-01-06 02:00:00,0.56,2,weekday
2016-01-06 03:00:00,0.828,2,weekday
2016-01-06 04:00:00,0.932,2,weekday
2016-01-06 05:00:00,0.33299999999999996,2,weekday
2016-01-06 06:00:00,0.462,2,weekday
2016-01-06 07:00:00,0.493,2,weekday
2016-01-06 08:00:00,0.325,2,weekday
2016-01-06 09:00:00,0.294,2,weekday
2016-01-06 10:00:00,0.273,2,weekday
2016-01-06 11:00:00,0.723,2,weekday
2016-01-06 12:00:00,0.426,2,weekday
2016-01-06 13:00:00,0.42100000000000004,2,weekday
2016-01-06 14:00:00,0.447,2,weekday
2016-01-06 15:00:00,0.496,2,weekday
2016-01-06 16:00:00,0.523,2,weekday
2016-01-06 17:00:00,3.647,2,weekday
2016-01-06 18:00:00,3.0180000000000002,2,weekday
2016-01-06 19:00:00,3.326,2,weekday
2016-01-06 20:00:00,2.175,2,weekday
2016-01-06 21:00:00,2.9730000000000003,2,weekday
2016-01-06 22:00:00,2.9939999999999998,2,weekday
2016-01-06 23:00:00,1.794,2,weekday
2016-02-06 00:00:00,1.281,5,weekend
2016-02-06 01:00:00,1.169,5,weekend
2016-02-06 02:00:00,1.2309999999999999,5,weekend
2016-02-06 03:00:00,0.909,5,weekend
2016-02-06 04:00:00,0.825,5,weekend
2016-02-06 05:00:00,0.55,5,weekend
2016-02-06 06:00:00,0.514,5,weekend
2016-02-06 07:00:00,0.536,5,weekend
2016-02-06 08:00:00,0.657,5,weekend
2016-02-06 09:00:00,0.655,5,weekend
2016-02-06 10:00:00,0.8859999999999999,5,weekend
2016-02-06 11:00:00,0.894,5,weekend
2016-02-06 12:00:00,0.8240000000000001,5,weekend
2016-02-06 13:00:00,0.55,5,weekend
2016-02-06 14:00:00,0.537,5,weekend
2016-02-06 15:00:00,0.799,5,weekend
2016-02-06 16:00:00,0.833,5,weekend
2016-02-06 17:00:00,3.408,5,weekend
2016-02-06 18:00:00,3.071,5,weekend
2016-02-06 19:00:00,1.642,5,weekend
2016-02-06 20:00:00,0.8959999999999999,5,weekend
2016-02-06 21:00:00,2.71,5,weekend
2016-02-06 22:00:00,1.176,5,weekend
2016-02-06 23:00:00,2.2359999999999998,5,weekend
2016-03-06 00:00:00,0.736,6,weekend
2016-03-06 01:00:00,1.102,6,weekend
2016-03-06 02:00:00,0.624,6,weekend
2016-03-06 03:00:00,0.595,6,weekend
2016-03-06 04:00:00,0.7020000000000001,6,weekend
2016-03-06 05:00:00,0.308,6,weekend
2016-03-06 06:00:00,0.364,6,weekend
2016-03-06 07:00:00,0.534,6,weekend
2016-03-06 08:00:00,0.47100000000000003,6,weekend
2016-03-06 09:00:00,0.35600000000000004,6,weekend
2016-03-06 10:00:00,0.263,6,weekend
2016-03-06 11:00:00,0.314,6,weekend
2016-03-06 12:00:00,0.349,6,weekend
2016-03-06 13:00:00,0.517,6,weekend
2016-03-06 14:00:00,0.408,6,weekend
2016-03-06 15:00:00,0.41700000000000004,6,weekend
2016-03-06 16:00:00,0.561,6,weekend
2016-03-06 17:00:00,2.164,6,weekend
2016-03-06 18:00:00,2.055,6,weekend
2016-03-06 19:00:00,1.8630000000000002,6,weekend
2016-03-06 20:00:00,1.258,6,weekend
2016-03-06 21:00:00,1.381,6,weekend
2016-03-06 22:00:00,1.163,6,weekend
2016-03-06 23:00:00,0.742,6,weekend
2016-04-06 00:00:00,0.636,2,weekday
2016-04-06 01:00:00,0.955,2,weekday
2016-04-06 02:00:00,0.7170000000000001,2,weekday
2016-04-06 03:00:00,0.6709999999999999,2,weekday
2016-04-06 04:00:00,0.6920000000000001,2,weekday
2016-04-06 05:00:00,0.313,2,weekday
2016-04-06 06:00:00,0.3,2,weekday
2016-04-06 07:00:00,0.282,2,weekday
2016-04-06 08:00:00,0.525,2,weekday
2016-04-06 09:00:00,0.5579999999999999,2,weekday
2016-04-06 10:00:00,0.365,2,weekday
2016-04-06 11:00:00,0.402,2,weekday
2016-04-06 12:00:00,0.445,2,weekday
2016-04-06 13:00:00,0.28300000000000003,2,weekday
2016-04-06 14:00:00,0.303,2,weekday
2016-04-06 15:00:00,0.588,2,weekday
2016-04-06 16:00:00,1.5590000000000002,2,weekday
2016-04-06 17:00:00,3.0269999999999997,2,weekday
2016-04-06 18:00:00,1.983,2,weekday
2016-04-06 19:00:00,1.514,2,weekday
2016-04-06 20:00:00,1.557,2,weekday
2016-04-06 21:00:00,2.045,2,weekday
2016-04-06 22:00:00,1.031,2,weekday
2016-04-06 23:00:00,2.1319999999999997,2,weekday
2016-05-06 00:00:00,1.033,4,weekday
2016-05-06 01:00:00,0.857,4,weekday
2016-05-06 02:00:00,0.711,4,weekday
2016-05-06 03:00:00,0.6859999999999999,4,weekday
2016-05-06 04:00:00,0.311,4,weekday
2016-05-06 05:00:00,0.293,4,weekday
2016-05-06 06:00:00,0.33899999999999997,4,weekday
2016-05-06 07:00:00,0.324,4,weekday
2016-05-06 08:00:00,0.435,4,weekday
2016-05-06 09:00:00,0.45799999999999996,4,weekday
2016-05-06 10:00:00,0.306,4,weekday
2016-05-06 11:00:00,0.41200000000000003,4,weekday
2016-05-06 12:00:00,0.7959999999999999,4,weekday
2016-05-06 13:00:00,1.922,4,weekday
2016-05-06 14:00:00,1.486,4,weekday
2016-05-06 15:00:00,1.671,4,weekday
2016-05-06 16:00:00,1.5490000000000002,4,weekday
2016-05-06 17:00:00,2.44,4,weekday
2016-05-06 18:00:00,1.864,4,weekday
2016-05-06 19:00:00,1.314,4,weekday
2016-05-06 20:00:00,1.195,4,weekday
2016-05-06 21:00:00,2.347,4,weekday
2016-05-06 22:00:00,1.256,4,weekday
2016-05-06 23:00:00,1.19,4,weekday
2016-06-06 00:00:00,0.885,0,weekday
2016-06-06 01:00:00,0.7390000000000001,0,weekday
2016-06-06 02:00:00,0.987,0,weekday
2016-06-06 03:00:00,0.65,0,weekday
2016-06-06 04:00:00,0.757,0,weekday
2016-06-06 05:00:00,0.287,0,weekday
2016-06-06 06:00:00,0.478,0,weekday
2016-06-06 07:00:00,0.521,0,weekday
2016-06-06 08:00:00,0.35600000000000004,0,weekday
2016-06-06 09:00:00,0.39,0,weekday
2016-06-06 10:00:00,0.40700000000000003,0,weekday
2016-06-06 11:00:00,0.8079999999999999,0,weekday
2016-06-06 12:00:00,0.5720000000000001,0,weekday
2016-06-06 13:00:00,0.763,0,weekday
2016-06-06 14:00:00,0.706,0,weekday
2016-06-06 15:00:00,0.51,0,weekday
2016-06-06 16:00:00,0.439,0,weekday
2016-06-06 17:00:00,3.736,0,weekday
2016-06-06 18:00:00,3.804,0,weekday
2016-06-06 19:00:00,3.1060000000000003,0,weekday
2016-06-06 20:00:00,2.324,0,weekday
2016-06-06 21:00:00,2.6010000000000004,0,weekday
2016-06-06 22:00:00,1.9909999999999999,0,weekday
2016-06-06 23:00:00,1.506,0,weekday
2016-07-06 00:00:00,0.988,2,weekday
2016-07-06 01:00:00,1.178,2,weekday
2016-07-06 02:00:00,1.0490000000000002,2,weekday
2016-07-06 03:00:00,0.943,2,weekday
2016-07-06 04:00:00,1.024,2,weekday
2016-07-06 05:00:00,0.315,2,weekday
2016-07-06 06:00:00,0.504,2,weekday
2016-07-06 07:00:00,0.425,2,weekday
2016-07-06 08:00:00,0.369,2,weekday
2016-07-06 09:00:00,0.268,2,weekday
2016-07-06 10:00:00,0.42200000000000004,2,weekday
2016-07-06 11:00:00,0.38,2,weekday
2016-07-06 12:00:00,0.316,2,weekday
2016-07-06 13:00:00,0.708,2,weekday
2016-07-06 14:00:00,0.82,2,weekday
2016-07-06 15:00:00,0.672,2,weekday
2016-07-06 16:00:00,0.478,2,weekday
2016-07-06 17:00:00,4.431,2,weekday
2016-07-06 18:00:00,4.019,2,weekday
2016-07-06 19:00:00,2.334,2,weekday
2016-07-06 20:00:00,2.349,2,weekday
2016-07-06 21:00:00,2.852,2,weekday
2016-07-06 22:00:00,2.037,2,weekday
2016-07-06 23:00:00,1.4409999999999998,2,weekday
2016-08-06 00:00:00,1.2429999999999999,5,weekend
2016-08-06 01:00:00,0.99,5,weekend
2016-08-06 02:00:00,1.07,5,weekend
2016-08-06 03:00:00,0.991,5,weekend
2016-08-06 04:00:00,1.001,5,weekend
2016-08-06 05:00:00,0.578,5,weekend
2016-08-06 06:00:00,0.446,5,weekend
2016-08-06 07:00:00,0.516,5,weekend
2016-08-06 08:00:00,0.336,5,weekend
2016-08-06 09:00:00,0.39299999999999996,5,weekend
2016-08-06 10:00:00,0.535,5,weekend
2016-08-06 11:00:00,1.067,5,weekend
2016-08-06 12:00:00,1.371,5,weekend
2016-08-06 13:00:00,1.244,5,weekend
2016-08-06 14:00:00,1.365,5,weekend
2016-08-06 15:00:00,1.4569999999999999,5,weekend
2016-08-06 16:00:00,2.391,5,weekend
2016-08-06 17:00:00,4.754,5,weekend
2016-08-06 18:00:00,3.873,5,weekend
2016-08-06 19:00:00,2.6519999999999997,5,weekend
2016-08-06 20:00:00,3.1039999999999996,5,weekend
2016-08-06 21:00:00,3.56,5,weekend
2016-08-06 22:00:00,2.792,5,weekend
2016-08-06 23:00:00,2.322,5,weekend
2016-09-06 00:00:00,2.247,1,weekday
2016-09-06 01:00:00,1.936,1,weekday
2016-09-06 02:00:00,2.113,1,weekday
2016-09-06 03:00:00,1.771,1,weekday
2016-09-06 04:00:00,1.76,1,weekday
2016-09-06 05:00:00,0.82,1,weekday
2016-09-06 06:00:00,0.41100000000000003,1,weekday
2016-09-06 07:00:00,0.451,1,weekday
2016-09-06 08:00:00,0.431,1,weekday
2016-09-06 09:00:00,0.342,1,weekday
2016-09-06 10:00:00,0.401,1,weekday
2016-09-06 11:00:00,0.433,1,weekday
2016-09-06 12:00:00,0.624,1,weekday
2016-09-06 13:00:00,0.899,1,weekday
2016-09-06 14:00:00,0.626,1,weekday
2016-09-06 15:00:00,0.451,1,weekday
2016-09-06 16:00:00,0.773,1,weekday
2016-09-06 17:00:00,4.092,1,weekday
2016-09-06 18:00:00,3.431,1,weekday
2016-09-06 19:00:00,2.815,1,weekday
2016-09-06 20:00:00,3.113,1,weekday
2016-09-06 21:00:00,2.908,1,weekday
2016-09-06 22:00:00,3.5580000000000003,1,weekday
2016-09-06 23:00:00,2.261,1,weekday
2016-10-06 00:00:00,2.092,3,weekday
2016-10-06 01:00:00,1.554,3,weekday
2016-10-06 02:00:00,1.361,3,weekday
2016-10-06 03:00:00,1.001,3,weekday
2016-10-06 04:00:00,0.6779999999999999,3,weekday
2016-10-06 05:00:00,0.32,3,weekday
2016-10-06 06:00:00,0.513,3,weekday
2016-10-06 07:00:00,0.6829999999999999,3,weekday
2016-10-06 08:00:00,0.42200000000000004,3,weekday
2016-10-06 09:00:00,0.434,3,weekday
2016-10-06 10:00:00,0.47600000000000003,3,weekday
2016-10-06 11:00:00,0.5529999999999999,3,weekday
2016-10-06 12:00:00,0.731,3,weekday
2016-10-06 13:00:00,0.669,3,weekday
2016-10-06 14:00:00,0.546,3,weekday
2016-10-06 15:00:00,0.451,3,weekday
2016-10-06 16:00:00,0.904,3,weekday
2016-10-06 17:00:00,5.155,3,weekday
2016-10-06 18:00:00,3.636,3,weekday
2016-10-06 19:00:00,4.614,3,weekday
2016-10-06 20:00:00,4.821000000000001,3,weekday
2016-10-06 21:00:00,2.68,3,weekday
2016-10-06 22:00:00,3.245,3,weekday
2016-10-06 23:00:00,4.928,3,weekday
2016-11-06 00:00:00,3.862,6,weekend
2016-11-06 01:00:00,2.117,6,weekend
2016-11-06 02:00:00,2.376,6,weekend
2016-11-06 03:00:00,2.3,6,weekend
2016-11-06 04:00:00,1.7530000000000001,6,weekend
2016-11-06 05:00:00,2.0469999999999997,6,weekend
2016-11-06 06:00:00,0.86,6,weekend
2016-11-06 07:00:00,0.742,6,weekend
2016-11-06 08:00:00,1.232,6,weekend
2016-11-06 09:00:00,1.2409999999999999,6,weekend
2016-11-06 10:00:00,1.0859999999999999,6,weekend
2016-11-06 11:00:00,0.575,6,weekend
2016-11-06 12:00:00,0.48,6,weekend
2016-11-06 13:00:00,0.639,6,weekend
2016-11-06 14:00:00,0.433,6,weekend
2016-11-06 15:00:00,0.33899999999999997,6,weekend
2016-11-06 16:00:00,1.453,6,weekend
2016-11-06 17:00:00,5.151,6,weekend
2016-11-06 18:00:00,4.088,6,weekend
2016-11-06 19:00:00,3.5060000000000002,6,weekend
2016-11-06 20:00:00,3.071,6,weekend
2016-11-06 21:00:00,4.49,6,weekend
2016-11-06 22:00:00,4.744,6,weekend
2016-11-06 23:00:00,5.416,6,weekend
2016-12-06 00:00:00,4.42,1,weekday
2016-12-06 01:00:00,2.7510000000000003,1,weekday
2016-12-06 02:00:00,2.559,1,weekday
2016-12-06 03:00:00,2.28,1,weekday
2016-12-06 04:00:00,2.408,1,weekday
2016-12-06 05:00:00,1.9409999999999998,1,weekday
2016-12-06 06:00:00,0.7140000000000001,1,weekday
2016-12-06 07:00:00,0.802,1,weekday
2016-12-06 08:00:00,1.8159999999999998,1,weekday
2016-12-06 09:00:00,0.705,1,weekday
2016-12-06 10:00:00,0.366,1,weekday
2016-12-06 11:00:00,0.248,1,weekday
2016-12-06 12:00:00,0.26899999999999996,1,weekday
2016-12-06 13:00:00,0.379,1,weekday
